Date; Time; Milisec; Msg ID; Byte1; Byte2; Byte3; Byte4; Byte5; Byte6; Byte7; Byte8;; Byte1; Byte2; Byte3; Byte4; Byte5; Byte6; Byte7; Byte8
2025.12.02; 16:46:51; 895; 18E2FF70; 06; FF; FF; FF; 08; 01; FF; FF; ; 006; 255; 255; 255; 008; 001; 255; 255; 
2025.12.02; 16:46:51; 895; 0CF00400; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 940; 18E2FF70; 07; FF; FF; FF; FF; FF; FF; FF; ; 007; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:51; 959; 18FEE674; 68; 3A; 16; 00; 60; 0F; 00; 7D; ; 104; 058; 022; 000; 096; 015; 000; 125; 
2025.12.02; 16:46:51; 989; 18E2FF70; 08; 3A; 16; 00; 60; 0F; 68; 0F; ; 008; 058; 022; 000; 096; 015; 104; 015; 
2025.12.02; 16:46:51; 989; 18EAFF70; 00; 00; FF; FF; FF; FF; FF; FF; ; 000; 000; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:52; 010; 18FF6221; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:52; 010; 18EAFF74; 00; 00; 00; 00; 00; 00; 00; 00; ; 000; 000; 000; 000; 000; 000; 000; 000; 
2025.12.02; 16:46:52; 042; 18E2FF70; 09; FF; FF; FF; FF; 17; FF; FF; ; 009; 255; 255; 255; 255; 023; 255; 255; 
2025.12.02; 16:46:52; 054; 18E5FF74; 01; 00; 04; 00; 00; 00; 5A; 02; ; 001; 000; 004; 000; 000; 000; 090; 002; 
2025.12.02; 16:46:52; 101; 18E2FF70; 0A; 00; FC; FF; FF; FF; FF; 00; ; 010; 000; 252; 255; 255; 255; 255; 000; 
2025.12.02; 16:46:52; 101; 18FEEE00; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:52; 101; 18E5FF74; 02; 45; 01; 00; 61; 61; C3; 01; ; 002; 069; 001; 000; 097; 097; 195; 001; 
2025.12.02; 16:46:52; 145; 18E2FF70; 0B; 1E; 00; 00; 00; FF; FF; FF; ; 011; 030; 000; 000; 000; 255; 255; 255; 
2025.12.02; 16:46:52; 145; 18E5FF74; 03; FF; FF; FF; FF; FF; FF; FF; ; 003; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:52; 196; 18E5FF74; 04; 10; 10; FF; 4B; 17; FF; 08; ; 004; 016; 016; 255; 075; 023; 255; 008; 
2025.12.02; 16:46:52; 196; 18FEF517; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:52; 236; 18E2FF70; 0D; FF; FF; FF; FF; FF; FF; FF; ; 013; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:52; 274; 18E5FF74; 06; FF; 00; FF; FF; FF; 00; 00; ; 006; 255; 000; 255; 255; 255; 000; 000; 
2025.12.02; 16:46:52; 325; 18E5FF74; 07; FF; 3D; 4B; 3F; 00; 07; FF; ; 007; 255; 061; 075; 063; 000; 007; 255; 
2025.12.02; 16:46:52; 371; 18E5FF74; 08; FF; FF; FF; FF; FF; FF; FF; ; 008; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:52; 394; 18FF2100; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
